n12881518,北京再遇沙尘暴 网民：黄沙加雨水 像下泥
n13735862,网民爆料：上海医院张冠李戴“火化”老人
n13735808,拒隔离 上海男喊“我们是最后一代”上微博热搜
n13735819,【拍案惊奇】习李唱红白戏？中国接连天赤如血！
n13735911,中共严控“非必要出境”网友惊呼：出国更难了
n13736156,上海封城以物易物抢翻天 陈奕用猫罐头换蔬果
n13736227,【远见快评】轴心国陷风暴 中共走入死局？
n13736366,防疫技穷 北京“静默管理”居家三天三轮核检
n13736353,民营运载火箭在酒泉发射再度失败
n13735476,【一线采访】险被劫持到方舱 沪民述恐怖经历
n13736483,人为破坏和化肥 东北黑土地正快速流失
n13736755,“清华大学今起不进不出”登热搜 网民热议
n13736792,辽宁丹东强制入户消毒 引发网友批评
n13736542,安徽蚌埠警告粮食危机在劫难逃 引发热议
n13735980,北京被曝多区封控 居民：如待宰羔羊
n13737182,疫情持续 网民作“对联”嘲讽封控乱象
n13737805,上海高考中考延期 消息人士：6月初学校开学
n13737818,上海接连发生核酸“假阳性”事件 背后原因存疑
n13737933,沪男NBA式投掷团购物资 攻破居委防守
n13738102,清华教授称中国封锁2年每人增寿10天 引炮轰
n13738065,抗议校方建墙封锁 北大学生深夜聚集拆围墙
n13738407,上海男行程码带星被拒入湖北公厕 引批评
n13738037,中共极端防疫 上海八旬音乐教师饿肚子求救
n13738541,【新闻大家谈】上海称将推复商复市 评论翻车
n13738476,【一线采访】四川邻水封城 民众严重缺物资
n13738442,中国经济4月数据崩塌 专家：不可逆转的损害
n13738712,张艺兴在节目中发烧 疑未通报做核酸检测惹议
n13738925,人民币仍快速贬值 中共难掩外资撤离事实
n13738763,【新闻看点】惊传习脑部重病 政敌欲置之死地？
n13738983,前4月中国跨境货运工具减半 卡车少六成
n13739002,四川邻水染疫人数攀升 疫情蔓延至重庆深圳
n13739148,广东一面包车坠河 10人遇难
n13739150,新奥密克戎变异株进入广东 网友称恐慌
n13739058,上海封城 “泡面与瑞士卷”之争的背后
n13739175,上海出现“逃离潮” 市民：中共带来的灾难
n13739345,中共鼓励学生举报私自翻墙外出者 奖金5000元
n13739351,中共长期封城 殃及韩国经济
n13739174,上海称全市清零遭网友举报 评论区沦陷
n13739368,传黑匣子显示：东航班机俯冲坠毁是人为导致
n13739440,北京丰台区疫情管控升级 市民出行受限
n13739363,办完父亲王羽后事离台 王馨平返港确诊染疫
n13739541,中国外汇储备连跌四个月 4月降幅创纪录
n13739209,【一线采访】外乡人离沪：再待下去会饿死
n13739532,河北唐山惊现巨型黑色“龙卷风”
n13739596,北京封101个地铁站 丰台区部分区域封七天
n13739710,大陆两卫健委官员批清零政策  被指不寻常
n13739761,江西夫妻来沪看病遇封城 流浪街头两个月
n13739805,杭州亚洲残运会延期 第七场国际赛事生变
n13739873,重庆一大巴车翻入河沟 20余人伤亡不明
n13739826,广州一汽车厂离小区太近 遭千名业主集体抗议
n13739682,网民汇集上海抗疫口号：批评文革式的滥词
n13739992,【新闻大家谈】中共催生与民斥“最后一代”
n13740061,【一线采访】上海解封？市民：玩文字游戏
n13739993,高盛大幅下修中国GDP增长 李克强开会救经济
n13740202,官媒称上海烟火气回来了 居民：都是怒火
n13740132,【财商天下】核检日赚一亿 钱进了谁的口袋？
n13740340,山西一化肥厂锅炉房爆炸 至少5人死伤
n13740260,中共防疫债发行再增加 背后产业链利益巨大
n13740449,传东航事故是人为 资深飞行师吁调查副驾
n13740247,【新闻看点】上海被爆加强封控 居委弄虚作假
n13740581,染疫人数攀升 四川广安封城 急建方舱
n13740625,上海“解封”出现逃离潮 海外异议人士谈觉醒
n13740699,北京高校发生聚集性疫情 多名大学生感染
n13739985,【一线采访】露宿街头遭驱赶 上海外卖哥处境惨
n13740920,疫情下中共严控国民出境 民众忧中国朝鲜化
n13740877,震惊于中共清零防疫 上海85%外国人想“润”
n13741053,【财商天下】大陆消费和信贷塌方 失业率创新高
n13741156,四川雅安4.8级地震 成都等多地震感强烈
n13741364,疑因无核酸证明医院拒手术 京老妇重度昏迷
n13741445,上海男子持刀割伤居委书记颈部 网络热议
n13741527,学者批防疫政策 遭钟南山基金会撤顾问资格
n13741672,业内人士深入分析：东航事故系人为
n13741822,天津变相封城 官方恐吓市民违令影响子孙
n13741869,【新闻看点】社会面清零破功 上海重新封锁？
n13741578,北京收紧封控 传居民被连夜拉去隔离 惹众怒
n13742084,广州现Omicron BA.2.12.1变种毒株 多地被封控
n13742114,下班回家 上海医生进小区全身被喷消毒液
n13742147,北京海淀区全域封闭 一核检机构作假6人被抓
n13742250,【一线采访】“志愿者”诉沪乱象：再也不想去
n13742497,铁链女事件再上微博热搜 总阅读次数超39亿
n13742817,北京疫情延烧 “新增本土病例”再上热搜
n13742964,上海卫健委人事异动 或涉中共高层内斗
n13742969,中国青年失业率创新高 大学生对未来不乐观
n13742979,躲上海封城却遭四处隔离 企业总监历险记
n13743010,上海官媒采访翻车 市民说实话令记者尴尬
n13743166,河南郑州渣土车将越野车压扁 致4人遇难
n13743050,【一线采访】上海多区解封再封 民讥“开封”
n13743161,1个月难清零 北京9区提升管控级别
n13743344,上海封城 经济学家月刷卡11.4元 惊动银行
n13743437,北京居家办公区域不断扩大 逾千万人受影响
n13743517,中国女网红曝遭自称警察的人拐卖 半年后获救
n13743724,外派职员：为回国向中共大使馆交“保护费”
n13743774,歌手罗中旭逃离上海到天津 一路感叹太不容易
n13744036,北京疫情恶化 大量民众被转河北隔离引不满
n13744147,河北石家庄一直升机坠落 有人受伤
n13744053,黑云压城 中国中小企业遭遇前所未有困难
n13743837,中国各地建方舱医院 河南商丘拟注资上亿
n13743940,暑假临近 中国高校生回家难
n13744217,【一线采访】沪脑瘤患者得不到救治 家属求助
n13744325,【十字路口】出兵台海斗中共 拜登玩真的？
n13744413,【拍案惊奇】天花疫苗正量产 习头衔有两变化？
n13744453,江苏常州一居民楼发生大爆炸 至少致6人死伤
n13744442,【财商天下】中共重提上海金融战 二十大有变数？
n13744579,最后一家美国大型互联网企业退出中国市场
n13744510,沪专家张文宏称奥密克戎似流感 登微博热搜榜
n13744786,疫情延烧 天安门广场暂停当日预约服务21天
n13744729,疫情扩散 北京多名官员遭查 天津市中心被封
n13744932,云南16岁女生被强奸 在校分娩大出血引关注
n13744846,上海防范区居民凭出门证进出 传破门抗议
n13745216,上海推出“遛弯证” 居民出行须出示“三证”
n13745275,死者也要核酸检测证明 深圳殡葬新规引争议
n13745265,因疫情遭北京城管驱赶 黄安哀叹没地方吃饭
n13745529,美国通胀中国封控 全球经济未来不确定性高
n13745602,业内人士揭中共航空领域种种乱象
n13745612,中超重庆足球队解散 知情者披露内情
n13745654,“湖南男子打着石膏逃离上海”冲上热搜
n13745741,上海建筑工地多人染疫 经理未上报 被查
n13745686,河南商丘上百孩童流鼻血 官方通报引众怒
n13745817,UN人权高级专员访华 中共密件外泄震惊国际
n13745943,【微视频】李克强稳定经济大盘的钱哪里来
n13746010,河南武陟要求返乡大学生喝3天中药 惹争议
n13746187,天津大学爆示威活动 学生齐喊“打倒官僚”
n13746244,中共推“防疫儿歌” 对儿童恐怖洗脑
n13746363,上海交大博士生逗猫遭通报处罚 网民热议
n13746519,北京男因延迟救治身亡 退伍军人父网络举报
n13746643,北京又一核酸检测机构被查 17人被捕
n13746688,广西忻城多名学生被洪水冲走 两人遇难
n13746734,云南持续降暴雨 洪灾致数人死亡失联
n13746772,上海企业主：封控两个月 人生道路不再清晰
n13746738,【一线采访】天津封控升级 市民斥核酸采样混乱
n13746925,湖北市民曝非法封控 一句“岂有此理”惹祸
n13746965,【一线采访】上海开新闻会 市民追问何时解封
n13746956,大陆女歌手金莎自曝染疫 被救护车从酒店拉走
n13747273,多省暴雨成灾 福建武平县山体滑坡致8死
n13747276,山东小伙拍毕业照 全班9个老师1学生上热搜
n13747294,上海世纪大逃亡 世界名城沦为伤心地
n13747365,江西上饶煌固镇山洪暴发 画面惊险
n13747354,【一线采访】陪孩子隔离后 沪居民回小区被拒
n13747065,河南商丘儿童集体流鼻血事件 工业污染再被关注
n13747317,【一线采访】上海再现核捡乱象 多起次生灾害
n13747939,云南遭遇惊魂泥石流 村民：老牛吓得又叫又跳
n13748200,章子怡隔离在家带娃种菜 豪宅菜园大到似公园
n13748215,中国现首例BA.5感染者 曾接种疫苗多次
n13748275,四川7名村民上山挖虫草遭雷击身亡
n13748330,上海白蚁大爆发冲上热搜 引热议
n13748216,刘畊宏上海直播跳操 大量白蚁飞入家中陷混乱
n13748447,【一线采访】上海未全解封 大搞核酸劳民伤财
n13748542,湖北5名中学生游泳时被急流冲走 下落不明
n13748541,河南3人因患蜱虫病离世 曾与去世感染者接触
n13748600,“北京今日突发疫情”冲上热搜榜
n13748713,上海政府宣传复工 居民：未解封 居委会禁出入
n13748745,中国核酸检测常态化 巨额成本地方政府难承担
n13748704,中共“清零”谁发横财 常态化核酸谁买单？
n13749171,中共在沙漠和南极搞清零 民众嗤“荒唐”
n13749183,既要清零又要稳经济 中国地方政府进退两难
n13749192,日本6月起恢复旅行团入境 中国游客恐难出行
n13749210,中共长期封城 将令韩国GDP缩水
n13749245,传女学生延误治疗死亡 南京职校逼学生封口
n13749275,贵州茅台镇酒厂起火 上百吨酱酒流入河流
n13749310,吉林四平2次不测核酸拘10天 网民抨击
n13749385,【一线采访】高校提前放暑假 在沪学生返乡难
n13749490,【财商天下】北京迅速“清零” 背后有猫腻
n13749617,【一线采访】上海六一解封 居委会成替罪羊
n13749627,极端清零重创中国经济 西方社会密切关注
n13749892,美国新移民：上海封城让人变成被饲养的动物
n13749416,【一线采访】打国产疫苗患白血病 民众追责
n13749899,湖南一早餐店发生爆炸 至少造成1死13伤
n13750071,上海被封 男子研究绿化带 发现84种草药
n13750074,四川芦山发生6.1级地震 多地震感强烈
n13750125,上海人被憋太久 解封首日商圈出现人潮
n13750242,年耗1.45兆 中国常态化核酸检测医保担不起
n13750226,4月“静止人口”2亿 中共封杀难掩真相
n13750182,不怕感染怕隔离 解封了上海人创伤仍在
n13750250,“上海核酸”登热搜 网友热议
n13750411,上海避用“解封” 居委：封控都是上级下令
n13750501,吉林四平重惩未测核酸者惹众怒 政府急删规定
n13750566,【一线采访】上海解封首日 核酸检测排长龙
n13750669,哈尔滨一饭店发生爆炸 致多人受伤
n13750772,湖南湘西降特大暴雨 凤凰古城多处被淹
n13750893,上海员工核酸异常被老板藏桥洞 引热议
n13750925,东莞通报持刀伤人案6伤 微博热议遭删除
n13751021,【一线采访】北京核酸检测常态化 引民怒
n13751043,【一线采访】上海官方避谈解封 市民怒追责
n13751075,上海刚解封 多地区又现阳性病例再度封控
n13751002,【拍案惊奇】汶川余震袭四川 被质疑地下试核爆
n13751197,河南核酸采样屋遭诟病 背后公司成立10天中标
n13751162,中共封锁残局难收 上海人感幻灭：失去太多
n13751439,深圳一桥底电缆起火 28条供电线路全断电
n13751506,重庆持续暴雨 超市积水齐腰 开车如开船
n13751565,“上海一核酸点被砸”登上热搜
n13751150,【一线采访】上海极端封控 受害者遗属要真相
n13751786,【一线采访】家长疑疫苗致上千儿童糖尿病
n13751842,上海常态化核酸乱象多 当局道歉难息民怨
n13752058,偷越边境致爆疫可判死刑 广西当局通告惹议
n13752144,一列车在贵州遇泥石流撞站台 多人死伤
n13752209,阻扰农民收麦 河南村官索要核酸证明惹议
n13752215,河南又一人因蜱虫病去世
n13752318,肯德基推出玩具可达鸭 爆红中国网络
n13752264,上海封城“悲怆惨烈” 市民吁叶财德辞职
n13752238,中国多个省区大暴雨 江西居民上街抓鱼
n13752569,韩对华出口额减少 现28年来首次最大贸易逆差
n13752616,胡锡进被轰乌鸦嘴 说国外的灾难就在中国应验
n13752742,桂林漓江出现今年首次超警洪水 全线封航
n13752726,网民建议设“寻找铁链女日”人权律师表支持
n13752783,江苏居民被困上海二个月 解封后仍回不了家
n13753011,【一线采访】上海企业顾虑多 自设复工条件
n13753122,一剧组四川内江拍戏 两工作人员落水溺亡
n13753289,受疫情影响 呼和浩特超4成旅游企业恐倒闭
n13753435,涉核酸检测造假 北京朴石医学公司7人被捕
n13753766,中共抛防疫九不准  官媒呼应 分析：高层甩锅
n13754017,72小时核酸证明成必需品 沪民：劳民伤财
n13754119,上海解封后 市民投诉老人回养老院仍遭拒
n13754064,上海居民：手铐解除 脚镣还在 刹车油门同时踩
n13754133,【一线采访】沪民曝徐汇大半区域现阳性病例
n13754277,【一线采访】封城半年 东兴市民冲卡遭镇压
n13754219,【十字路口】习二十大连任告急 UFO现台湾？
n13754360,出口创新高 从中国进口下降 美贸易逆差收窄
n13754537,疫情持续 丹东当局害怕从朝鲜吹来“毒”风
n13754813,山东一青年二度出国遭海关无端阻拦 无处申诉
n13754884,江苏家长烧香为孩子高考祈福 导致家中起火
n13754928,湖南两男子将好友丢阳台外 致十级伤残
n13755114,为留人才上海取消一入境要求 有效性受质疑
n13755348,中国政法大学教授吁对疾控中心进行违宪审查
n13755483,中共空军一架歼-7飞机在湖北襄阳坠毁爆炸
n13755546,杭州冰雪大世界起火爆炸 多人跳楼逃生
n13755671,上海一美容院员工阳性 涉15区数百名顾客
n13755710,大陆主播拍大凉山婚宴视频揭脱贫谎言 被传唤
n13755800,内蒙古再爆Omicron疫情 染疫者猛增
n13755887,上海疫情 阶梯式社区闭环 市民：又回到3月
n13755851,上海宣布解封即面临政治清算 江派高官落马
n13755962,志愿者：从上海回家花掉3个月工资
n13755942,核酸采样小屋设计怪异：屋内蹲椅子 屋外扎马步
n13755997,COVID-19起源仍无果 世卫：缺少来自中国数据
n13755948,上海市国资委要求捐款 分析：政府没钱了
n13756222,四川阿坝州11连震 最强6级 多地震感强
n13755932,1千人打疫苗后患白血病 专家：可能疫苗有关
n13756322,广西泥石流至少造成7死 39条河水位超警戒线
n13756242,中共财政陷困境 大陆民众直接负担防疫成本
n13756508,上海七个区周末做核酸 市民恐慌再掀抢购潮
n13755741,北京酒吧疫情蔓延 一人曾执飞北京至广州航班
n13756604,二十大前官场大调整 两省7副省长同日辞职
n13756635,习再提坚持清零 钟南山：防控层层加码不可取
n13757046,核酸检测费达3000亿 中共利益集团发横财
n13756964,上海爆当街砍人命案 官方未通报 话题遭封禁
n13757109,南航一航班起飞时发生巨响 疑似零件掉落
n13757062,上海解封 现理发潮和离婚潮
n13757164,传播链延长 北京酒吧染疫人数持续增加
n13757180,唐山男子群殴女性引公愤 主犯身份曝光
n13757256,问责上海极端防疫政策 异议人士遭打压
n13757772,【一线采访】津冷库关闭一月 商户损失惨重
n13757363,接种中国产疫苗后患白血病 维权路难上难
n13757776,北京新增病例三成是隔离人员 聚集性疫情猛
n13758385,暴雨雷电大风来袭 北京十一区突降冰雹
n13758088,【一线采访】七天未测核酸赋黄码 沪民反对
n13759282,江苏无锡一栋两层居民楼发生爆炸坍塌
n13758798,游行要求减免租金 上海数百商户遭暴力镇压
n13759348,鄂尔多斯市购物中心华为手机店起火 造成两死
n13759336,打人事件发酵 唐山公安局前百余人排长队申冤
n13759380,蔡奇铁腕下北京疫情仍升温 孙春兰提保二十大
n13759392,【一线采访】河南用“红码”阻储户维权
n13759536,丹东隔离闹乌龙 市民冲出小区抗议封控
n13759825,暴雨成灾 惠州一对夫妻连人带车被洪水冲走
n13760006,安徽马鞍山一饭店发生火灾 传出巨大爆炸声
n13760040,【一线采访】北京朝阳酒吧疫情扩散 景区被封
n13759971,组图：广西33条河流水位超警戒线 多地爆洪灾
n13760121,极端防疫 河北婴儿因延误治疗死亡 视频曝光
n13760235,藉防疫敛财 中国核酸检测乱象频生
n13760381,汤姆·汉克斯疑健康出状况 右手拿话筒一直抖
n13760813,珠江水位暴涨 洪水淹进广州中心城区
n13760921,【健康1+1】疫苗后血癌不良事件 近千例最终分析
n13760866,中国近期连串爆炸大火 媒体噤声或语焉不详
n13761104,日本开放团体旅游 中国民众：层层关卡出不去
n13761282,广州遭遇龙卷风袭击 摧毁电力设备 火花四溅
n13761665,兰州化工厂爆炸 8伤6失踪 现场腾起蘑菇云
n13761705,【一线采访】珠江上游水库泄洪 广州村庄被淹
n13761862,昔日北京三个奥运村 如今均变成隔离营
n13761931,中国遭遇暴雨、热浪和龙卷风三重袭击
n13761888,蔡少芬举家搬回香港 上海300平米豪宅急出租
n13761914,上海封城日移居上海 吴尊2个月来首次叹未来
n13762016,上海石化发生严重爆炸事故 火球直冲天空
n13762215,一枚炮弹掉到哈尔滨一居民家院里 村民惊呆
n13762203,因网上言论被扣手机 湖北异议人士不服提覆议
n13762229,河南高温破40℃ 多地水泥路断裂翘起
n13762218,女子举报唐山人打砸内蒙赤峰派出所 引热议
n13762256,上海网友公开要求唐山当局公布4受害人现况
n13762276,中共新规严管跟帖评论 网民嘲讽：网络也姓党
n13762308,刚出狼窝又入虎穴 女媒体人被上海隔离70天
n13761796,近千例疫苗后血癌案例最终分析 一方法预防
n13762711,南涝北旱  福建水淹一楼 鲁豫气温超40度
n13762770,父亲节 武汉张海为所有被疫情所害的父亲呐喊
n13762791,广东佛山现龙卷风 狂风席卷 火花四溅
n13762792,疫苗受害家长何方美被抓 律师：政府绑架司法
n13763017,上海封城80天后 专家曝非高危人群重症率为零
n13763266,连日暴雨 广东韶关多地内涝严重
n13763323,珠海因疫封控 有民众拖行李连夜逃离管控区
n13763465,朝鲜突然停止从中国进口COVID防疫物资
n13763578,唐山女子及家属沉默 全网追问 传烧烤店拆除
n13763902,吉林、内蒙古遭冰雹袭击 冰雹大如鸡蛋
n13764010,上海封城民众离心 艺人返港外资撤离
n13764139,江西大洪水酿灾 村民：水库泄洪未及时通知
n13764113,广东洪灾肆虐 韶关清远多地被淹 乡镇更惨
n13764183,【中国观察】张文宏研究报告阻极端清零？
n13764505,中国南方洪涝 北方高温或现水患
n13764720,天津山东同日发生爆炸事故 共致36死伤
n13764820,湖南怀化一整栋楼被洪水冲走 惊险画面曝光
n13764988,组图：广东韶关遭“50年一遇”洪水侵袭
n13764990,山东大学生纪念六四被警方带走 下落不明
n13765015,广东英德遇特大洪水 多乡镇被淹 民众被困
n13765748,看病被拦后袭警 丹东父女获大陆网民力挺
n13765766,丹东老人街头对警察喊话 炮轰中共极端防疫
n13765765,蔚来汽车冲出上海总部大楼 两试车员死亡
n13765751,传“乌衣”被关期间身体不好 其家属被控制
n13765841,【十字路口】三大谎言内爆 信任危机席卷中共
n13766021,健康码成监控码 中国人被身份电子化强管控
n13766026,上海“堂食游击队”网上火了 网民：深深悲哀
n13766113,“袭警”事件引爆舆情 丹东封城2个月后解封
n13766395,燕郊一商业街发生爆炸 多家商铺严重毁损
n13766613,保定遭狂风袭击 大树被连根拔起 屋顶被掀
n13766680,解封后上海人紧捂荷包 时尚品牌清仓难
n13766916,中国医疗垃圾激增六倍 专家：有致命风险
n13766876,中共卫健委禁控疫外变码？分析：已成控制手段
n13766947,黄码父女看病被控袭警 辽宁丹东民怨沸腾
n13767153,浙江宁波多地突下大冰雹 有汽车被砸坏
n13767252,深圳福田全区封闭 华强北部分商户暂停营业
n13767226,上海解封后出现五现象 市民：身心俱疲
n13767280,持续高温 河南人家中玻璃门“热炸”爆裂
n13767223,上海宣布疫情“双双归零”居民：仍被封控隔离
n13767695,北京暴雨预警多景区关闭 上海持续高温
n13767715,深圳福田封控华强北休业 民众指过度防疫
n13767868,钟南山究竟打没打疫苗 官媒“辟谣”越描越黑
n13767912,【一线采访】上海书记称抗疫“打赢了” 市民：输了也说赢
n13766057,数百例疫苗后糖尿病报告分析 1种常见食物有效改善
n13768101,大陆南方多省爆发流感 求诊人数激增
n13768292,山东降暴雨 青岛街面水深齐腰 司机跳窗逃生
n13768413,蔡奇称北京未来5年常态化防疫惹议 官媒急删
n13769071,浙江温州居民楼发生爆炸 窗户被炸飞
n13769015,上海浦东一公交车失控乱撞 冲进河里
n13769346,研究：中国国药疫苗几乎不产生Omicron中和抗体
n13769210,中共缩短国际旅客隔离时间 欧商会谨慎观望
n13769442,上海宣布“保卫战赢了” 中国歌手写歌戳谎言
n13769796,【一线采访】 江苏女子疑被精神病院虐待而死
n13769825,江西沙溪古镇被淹 受灾民众：泄洪未通知
n13769875,重庆合川客货车相撞事故 至少造成5死12伤
n13769832,上海一天发四个天气预警 暴雨倾盆黑云压城
n13769890,【一线采访】疫情再起 安徽宿州泗县封城
n13769655,【新闻大家谈】王维洛：中共与水斗 洪灾暴增
n13770034,上海宣称“抗疫”成功 民众：充满悲剧的笑话
n13769962,习访武汉再提清零 中信部突取消行程卡星号惹议
n13770105,习“千年大计”惨淡？雄安站每天一趟车进京
n13770135,中共放松旅行限制 中国人出国仍难
n13770624,贵州六盘水发生重大车祸 至少4死10伤
n13770656,中共代表促美解决贫困问题 评论区翻车
n13770936,丹东防疫酿悲剧：老人就医被拒 遭拘捕后自杀
n13771257,安徽宿州疫情升温 江苏多地出现关联疫情
n13771302,贵州一面包车撞公交站 知情者讲述现场情况
n13771365,广东佛山突发弱龙卷风 厂房铁棚顶被掀起
n13771435,触目惊心 大陆210家核酸检测机构不合格
n13771666,丹东核酸检测后 采集的186人样本被扔路边
n13771997,广东潮州遭龙卷风袭击 铁皮碎屑满天飞
n13772011,广东汕头、湛江海上接连出现龙吸水奇观
n13771991,入境中国新规：美公民转机可入境 隔离期查猴痘
n13772484,大陆工程船在香港海域断裂沉没 27人失踪
n13772567,安徽疫情扩散 无锡一商业城数万人隔离
n13772757,丹东封控 农户遭隔离 家中带羔母羊被电死
n13772816,陕19家核酸检测机构被整顿 成中共替罪羊？
n13772948,石家庄一牌楼顶冠坠落 8人躲雨惨死
n13773263,河南漯河医院外 一蔚来汽车失控致1死5伤
n13773395,黑客自曝骇入上海公安系统 窃10亿中国人个资
n13773328,疫情扩至10省 “清零政策”或危及长三角
n13773324,上海封控“隐形伤痕”浮现 民众述内情
n13773851,上海宣称打赢保卫战 市民：官方在撒谎
n13774003,河南安阳暴雨连发红色预警 积水高至膝盖
n13774061,大水未退 热浪来袭 2.5亿中国人面临40度高温
n13774152,央企控股实验室3人被捕 核酸检测黑幕被聚焦
n13774283,疫情再起 西安管控一周 上海大规模核酸检测
n13774733,河北一牌楼坠落砸死8人 含2女童
n13774770,苏州一四层公寓爆炸 搜出3人
n13774807,江苏太仓一观光机坠落起火 人员伤亡不明
n13774969,遭政府集采压缩利润 中国药企掀裁员潮
n13774913,无锡极端防疫 扣身份证 手上盖章 舆论哗然
n13775043,封城恐慌 西安再掀抢购潮 民众涌向车站逃离
n13774881,中共清零政策下 中国民营医院加速破产
n13774985,解封后跨省旅游解闷 上海游客挤爆三亚
n13774980,纯牛奶加入丙二醇是否安全 国际专家早有明论
n13775159,洪涝恐引发中国粮食危机
n13775207,中国核检企业大量涌现 非法操作不断曝光
n13775208,香港上百人接种疫苗后死亡 港府否认与疫苗有关
n13775080,穿有“已打疫苗”字样长袜 赵丽颖着装引热议
n13775326,江西一局长驾车肇事 致4岁男童被辗压身亡
n13775404,北京一直升机坠毁景区 目击者听到巨响声
n13775473,广东茂名暴雨 市区严重内涝 许多车辆泡水
n13775536,山西一越野车冲入婚礼队伍 至少造成5死6伤
n13775561,北京现奥密克戎BA.5本土病例 防控再加码
n13775929,林青霞香港半山豪宅发生火灾 约20人疏散
n13776079,【一线采访】复阳者被歧视：人心比病毒可怕
n13776304,湖北男子拐卖11名儿童潜逃26年 网民热议
n13776246,陆逾千孩子打疫苗后罹糖尿病 家长发声遭打压
n13776266,强制接种疫苗新规惹民怨 北京深夜急喊停
n13776384,中国多地进公共场所必须打疫苗 引抨击
n13776399,【一线采访】中国疫情持续 多地再遭封控
n13776964,同情安倍 唐山女教授遭围攻微博被永久禁言
n13777031,广东男子阳台挂22面镜子反击邻居 网友热议
n13777044,重庆石柱一车辆失控 至少造成2死4伤
n13777059,高温席卷中国20余省 预告还要热10天
n13777266,中国纺织企业近三成亏损 利润总额降二成
n13777279,中国多地疫情再起 无锡市民：一觉醒来变黄码
n13777292,要学生动员爷爷奶奶打疫苗 中共强制接种惹众怒
n13777590,青岛白泥蚂、海星泛滥成灾 渔民损失惨重
n13778132,吉林长春一饭店发生爆炸 汽车被掀翻
n13778254,奥密克戎BA.5入侵上海 多区全员核酸检测
n13778271,青海格尔木3辆油罐车爆炸 车只剩下骨架
n13779017,四川平武遭暴雨山洪袭击 多条道路中断
n13779370,中共再提黄河水资源不足 专家指分水计划是主因
n13779188,多地爆疫情再封控 分析：北京促经济成空话？
n13779427,将疫源归咎进口商品两年多 中共防疫突变调
n13779329,康复者求职遭歧视 学者：清零政策是祸因
n13779759,兰州凌晨发通告：所有小区实行封闭式管理
n13779680,大陆多地多人确诊热射病 出现死亡病例
n13779771,健康码变黄码 江苏公民申请资讯公开
n13779962,珠海增幼儿园关联病例27人 大陆7城现BA.5
n13779959,中共言论管控加码 整治“谐音字变体字”
n13780174,中国数十城市高温达40度 电力紧张 作物歉收
n13780466,黑龙江爆发山洪 失联者家属：连房带人被冲走
n13780456,重庆一博物馆屋顶热塌 生猪途经江苏险被烤熟
n13780541,要学生动员老人打疫苗惹议 广西官方急删文
n13780540,专家指BA.5致病性弱 央视删采访报导
n13780577,中共举行世界互联网大会 网民冷嘲热讽
n13780649,四川平武洪灾至少3死15失联 二楼瞬间被淹
n13780697,上海高温破40℃ 一老人中暑昏迷不治身亡
n13780698,浙江男子车祸6根肋骨断裂 也要到树荫躺下
n13780940,中国现Omicron变异株疫情 长三角工业恐受影响
n13780894,电子镣铐？返京人员需戴手环惹争议
n13781001,中国民航半年亏损千亿 考验中共清零政策
n13780960,大陆高温持续30天影响逾9亿人 多地达44℃
n13781241,青岛某区教师被硬性摊派接种疫苗任务 惹众怒
n13781384,辽宁葫芦岛空气弥漫异味 民：闻了嘴唇会发麻
n13781453,湖南路面热到爆裂 男子被甩出20多米远受伤
n13781467,狂风暴雨突袭沈阳 吹倒300棵树 车辆被砸
n13781469,北京派发电子手环引反弹 专家剖析其中猫腻
n13781505,北京强制打疫苗 律师团发声明促贯彻自愿接种
n13781512,安徽怀远现百余病例上热搜 全县封闭
n13781589,九旬老人被强制打疫苗命危 家属投诉
n13782008,甘肃庆阳遭遇最大洪水 电力通信道路中断
n13782090,上海东海护理院老人死因不明 家属拒绝火化
n13782153,大陆疫情持续蔓延 广西北海日增逾百风险区
n13782184,长春要求乘坐地铁须戴N95口罩 网民嘲讽
n13782688,港中大研发评估疫苗保护作用算法 准确度95%
n13782810,或因泄洪 四川北川突发山洪致6死12失联
n13782812,广州100多户业主隔离期间家中遭破门闯入
n13782770,【一线采访】上海再现14个高中风险区 民忧封控
n13782828,上海雨大风急 大树被吹倒 气温骤降
n13783255,浙江奉化渔船遇11级大风侧翻 致7死
n13783315,广西北海爆发疫情 二千多名游客滞留
n13783426,删自家报导后 央视采访专家强调BA.5威胁
n13783551,四川游泳池垮塌多人死伤 目击者忆案发瞬间
n13783652,成都现新变种病毒封控7天 兰州9千人被隔离
n13783623,江苏女孩被骗3万后 找骗子理论又被骗5万
n13783638,大陆面临加长版三伏天 7·20后多地酷热
n13783548,【一线采访】兰州多地封控 近万人被隔离
n13783787,逾20省市爆疫情 党媒仍喊清零 经济再受创
n13784058,持西安检测报告在成都难就医 王宇报警反被扣
n13784126,天津北辰区发生爆炸 一栋六层建筑损毁严重
n13784180,三伏天 青海省天峻县罕见降雪
n13784124,发疫情财 中国核酸检测相关企业利润暴增
n13784277,海南一艘游艇爆炸沉没 船上12人紧急逃生
n13784392,四川康定一餐馆二楼起火 数十人跳楼逃生
n13784975,新疆昌吉4.8级地震 乌鲁木齐等地震感强烈
n13784903,宁夏出现腺鼠疫病例
n13785196,江苏宿迁沭阳等多地出现龙卷风
n13785234,深圳外卖小哥被二次碾压 警方通报引质疑
n13785313,【一线采访】极端封控下 深圳业主砍死保安 
